,p,r2_y_c,r2_yhat_c,r2_y_yhat,n,c_to_y_ratio_in_yhat,yc_in_yhat,y_in_c,num_perms,random_seed,p_pc_pearson,p_pc_spearman,y_to_c_ratio_in_yhat
2439,0.981,5.845096363243929e-05,0.21120267951496285,-2.6119206575359044e-08,50,,0.3,0,1000,337331942,0.9784769586899928,0.9885625728591078,0.1
2440,0.145,0.0022833065008058817,0.00758403506515215,0.04031775746671051,50,,0.3,0,1000,1845879775,0.19342548464850215,0.20873653616073204,0.1
2441,0.524,0.08130407859483513,0.05206546236169318,0.009889235359448856,50,,0.3,0,1000,427967243,0.9127031507079292,0.9017670908716879,0.1
2442,0.491,0.09396310298703203,0.07155080902080657,0.17006041365483526,50,,0.3,0,1000,953430045,0.2576965679376818,0.3171756856785578,0.1
2443,0.152,0.0005463586121889907,0.03260599457878621,0.061632631734837684,50,,0.3,0,1000,2141243674,0.1454134735654151,0.16541571953154016,0.1
2444,0.367,0.02833412153697701,0.1963222962615211,0.025815489015240667,50,,0.3,0,1000,31881291,0.5030162796744817,0.6023502407106223,0.1
2445,0.994,0.026711706266799196,3.0643462708423996e-06,0.002475967747526453,50,,0.3,0,1000,1474739132,0.7829215899475295,0.7407608448881707,0.1
2446,0.543,0.0015753844893725555,0.11059566212780703,0.015473328194355429,50,,0.3,0,1000,3129905,0.5762965405797595,0.6564653795538911,0.1
2447,0.368,0.009259279506601437,0.09696052950329115,0.020150476360969227,50,,0.3,0,1000,1847541219,0.49027910805859487,0.6617779877107689,0.1
2448,0.61,0.09998161273780104,0.05109562622349917,0.013660640196108353,50,,0.3,0,1000,109537332,0.7811490160940473,0.6673153794159365,0.1
2449,0.919,0.006046827841116653,0.22914393540463052,-2.5253697044647083e-07,50,,0.3,0,1000,1186105693,0.7717210729754596,0.808609615942914,0.1
2450,0.755,0.0007303338866929687,0.2385878544384682,0.0011652639370627327,50,,0.3,0,1000,1871059500,0.8977449485251056,0.9257665197656083,0.1
2451,0.947,0.018380959320510426,0.1345743573742162,0.0002499974077957434,50,,0.3,0,1000,1569585237,0.6394528232876207,0.6366772713474682,0.1
2452,0.923,0.049525526167173095,0.09857353670762514,0.0014866415190832871,50,,0.3,0,1000,1922599686,0.8224528306829832,0.8111160656954584,0.1
2453,0.445,0.06067831214101527,0.00959062829486268,0.009889235359448412,50,,0.3,0,1000,1138716743,0.6922243129803074,0.7696653457554318,0.1
2454,0.338,0.008894210733633834,0.019087026734257218,0.06544776988515877,50,,0.3,0,1000,1236254961,0.13595743761763454,0.128221098144011,0.1
2455,0.597,0.028179877512077844,0.2890343219023257,0.19079032890480918,50,,0.3,0,1000,362075324,0.27980014769239164,0.3857930655901757,0.1
2456,0.756,0.00248794072382974,0.10811755964149816,0.0009776695232892596,50,,0.3,0,1000,1705070030,0.7719609465164703,0.8841325370187485,0.1
2457,0.399,0.0006232879892952292,0.11724237241374114,0.00585445723156619,50,,0.3,0,1000,716277828,0.6824790365092106,0.6758442653737656,0.1
2458,0.394,0.002070489979167478,0.05662591670420536,0.0240829902023999,50,,0.3,0,1000,2058607136,0.28235232493663126,0.2876927892016869,0.1
